model,model accuracy,model recall,model precision,f1 score
knneighbors,60.456897639782916,50.85413929040736,48.602825745682885,49.703002087012365
multinomialNB,56.07724346838319,65.9658344283837,45.103324348607366,53.575240128068316
guassianNB,60.25495393159157,59.13272010512484,48.582995951417004,53.34123573862794
decision tree,60.772434683831875,52.726675427069644,49.02260232131949,50.80721747388414
random forest,68.48416004038874,56.14323258869908,59.52629745733194,57.78529163144548
xgbrfclassifier,68.40843114981698,62.64783180026281,58.26458906202261,60.37676112078518
xgbclassifier,65.12684589170769,64.9802890932983,53.823129251700685,58.87780919779729
